X,Y,version,station,name,grid,ihdtm_x,ihdtm_y,centroid_x,centroid_y,dtm_area,altbar,aspbar,bfihost,dplbar,dpsbar,farl,fpext,ldp,propwet,rmed1h,rmed1d,rmed2d,saar,saar4170,sprhost,urbconc1990,urbext1990,urbloc1990,urbconc2000,urbext2000,urbloc2000,qmed_suitability,pooling_suitability,data_source,amax_record_length,qmed_obs,qmed_cds2008
292850,225500,3,56007,Senni                 ,GB,292850,225500,292742,221883,19.31,388,343,0.495,5.9,198.2,1,0.0432,10.04,0.62,13,68,94.1,1974,1942,38.96,-9.999,0,-9.999,-9.999,0.0004,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,42,28.4955,18.78377303
320550,191200,3,56011,Sirhowy               ,GB,320550,191200,316027,203332,76.41,320,165,0.523,18.36,138,0.973,0.0321,34.46,0.49,11.9,53.4,71.7,1481,1535,30.46,0.644,0.0456,0.952,0.757,0.0708,0.888,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,12,32.1495,36.80202907
300350,230450,3,56013,Yscir                 ,GB,300350,230450,297621,238443,63.26,350,151,0.494,11.91,137.9,1,0.0256,23.03,0.61,10.7,45.5,59.5,1299,1427,38.3,-9.999,0,-9.999,-9.999,0.0003,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,37,37.14,31.58590944
307950,189700,3,57005,Taff                  ,GB,307950,189700,301955,203106,451.68,320,156,0.409,22.67,163.6,0.949,0.0383,45.92,0.5,12.7,63.6,84.7,1833,1845,43.27,0.642,0.0405,0.741,0.754,0.06,0.734,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,42,362.3275,270.8823791
305350,190950,3,57006,Rhondda               ,GB,305350,190950,296999,196342,102.75,328,116,0.366,14.26,210.4,0.986,0.0372,25.76,0.49,13.7,71.8,94.9,2182,2208,47.75,0.641,0.0591,0.709,0.743,0.0761,0.714,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,42,111.7195,114.374581
283150,681950,3,17001,Carron                ,GB,283150,681950,273125,684424,117.12,249,81,0.372,14.7,100.5,0.844,0.0397,27.82,0.59,10.3,44.1,62.5,1530,1483,44.19,0.701,0.007,0.266,0.808,0.0109,0.278,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,37,90.532,51.19486648
300200,665150,3,19002,Almond                ,GB,300200,665150,292070,664432,44.31,203,39,0.364,10.69,37.2,0.995,0.0873,19.44,0.57,8.6,34,46.1,1016,1022,47,0.696,0.0328,0.695,0.812,0.0514,0.709,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,46,18.543,21.63218473
327250,670750,3,19010,Braid Burn            ,GB,327250,670750,323452,668379,15.39,191,2,0.514,6.2,113.8,0.947,0.0326,12.31,0.49,8.8,35.4,47.9,770,767,39.58,0.814,0.1523,0.763,0.874,0.1586,0.779,t,f,HiFlows-UK_3.1.2_WINFAP-FEH_data,38,3.805,2.743702035
308850,195150,3,57007,Taff                  ,GB,308850,195150,304645,209134,193.86,367,180,0.402,20.77,153.1,0.906,0.033,37.93,0.52,12,58.4,78.7,1719,1731,44.67,0.654,0.03,0.716,0.763,0.0441,0.678,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,36,143.753,106.8931758
304250,206800,3,57015,Taff                  ,GB,304250,206800,302335,214033,111.18,430,176,0.352,11.05,156.6,0.85,0.0273,21.23,0.55,12.1,60.5,82.4,1858,1885,49.89,0.635,0.0086,0.211,0.763,0.0119,0.203,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,31,98.056,65.13698237
290350,179400,3,58001,Ogmore                ,GB,290350,179400,290379,188497,157.86,211,187,0.478,13.99,171.3,0.998,0.0378,25.4,0.52,12.5,54.4,72.3,1774,1846,36.35,0.652,0.0393,0.789,0.767,0.0567,0.789,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,49,117.317,105.4310664
281500,201650,3,58002,Neath                 ,GB,281500,201650,290201,210206,190.8,318,198,0.346,17.61,147,0.983,0.0428,32.43,0.62,12.5,63.8,88.1,1946,1977,47.78,0.645,0.0073,0.648,0.704,0.0114,0.634,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,48,217.9345,180.4423679
290400,184400,3,58005,Ogmore                ,GB,290400,184400,293415,189892,74.29,268,192,0.492,9.22,222.1,0.999,0.0248,16.37,0.52,12.9,59.5,78.8,1976,2008,35.75,0.569,0.0214,0.961,0.673,0.0327,0.926,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,40,53.757,59.51461905
291450,208150,3,58006,Mellte                ,GB,291450,208150,294644,214977,65.35,401,194,0.322,10.64,131.7,0.975,0.0297,18.26,0.62,12.5,63.5,86.4,1981,2112,51.3,-9.999,0,-9.999,-9.999,0.0002,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,39,89.48,75.32505669
289150,185550,3,58007,Llynfi                ,GB,289150,185550,286681,190149,50.92,212,167,0.474,8.22,158.5,0.997,0.0301,17.46,0.52,12.5,55,73,1778,1874,36.96,0.654,0.0374,1.149,0.775,0.0539,1.122,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,39,44.289,40.68413954
268550,199750,3,59001,Tawe                  ,GB,268550,199750,277704,212026,227.46,287,195,0.407,21.55,143.1,0.996,0.0504,39.92,0.62,12.1,58,81,1890,1940,42.54,0.566,0.0167,0.561,0.702,0.0238,0.581,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,52,250.881,184.9856966
249150,220350,3,60001,Tywi                  ,GB,249150,220350,269002,235626,1090.83,234,212,0.478,45.48,156.9,0.984,0.0607,89.91,0.59,11.3,49.8,66.5,1535,1585,38.97,-9.999,0.0008,-9.999,-9.999,0.0018,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,52,382.355,441.3918719
250900,222450,3,60002,Cothi                 ,GB,250900,222450,260063,237727,298.73,231,183,0.5,28.16,173.4,0.997,0.0315,52.53,0.56,11.6,51,68.1,1551,1637,37.89,-9.999,0.0002,-9.999,-9.999,0.0008,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,49,177.315,145.3745432
223850,215950,3,60003,Taf                   ,GB,223850,215950,218991,222325,216.48,125,177,0.553,18.23,102.8,0.999,0.0505,38.77,0.46,11.5,43.3,60.4,1420,1412,33.96,-9.999,0.0017,-9.999,-9.999,0.004,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,45,61.647,83.83808597
242900,222000,3,60006,Gwili                 ,GB,242900,222000,240908,229292,131.05,188,195,0.536,15.75,150.1,0.999,0.0295,26.69,0.52,12.3,51.9,70.2,1603,1614,35.11,-9.999,0.0009,-9.999,-9.999,0.0042,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,42,78.4525,67.31412475
253650,230050,3,60013,Cothi                 ,GB,253650,230050,262036,239779,243.04,242,197,0.493,21.26,169.1,0.997,0.0336,41.65,0.57,11.5,50.7,67.5,1538,1635,38.53,-9.999,0.0002,-9.999,-9.999,0.0009,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,10,122.902,123.3386134
244950,830050,3,6008,Enrick                ,GB,244950,830050,238353,828104,105.98,347,353,0.43,11.27,118.3,0.839,0.0467,25.12,0.7,9.2,35.5,51.1,1292,1343,43.62,-9.999,0.0002,-9.999,-9.999,0,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,27,50.897,31.85928529
224450,241600,3,62001,Teifi                 ,GB,224450,241600,248986,248171,897.26,209,285,0.507,49.93,109.8,0.995,0.0485,109.03,0.52,11,44.8,59.8,1379,1363,36.97,-9.999,0.0017,-9.999,-9.999,0.0047,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,50,211.9275,309.8134575
259050,277350,3,63001,Ystwyth               ,GB,259050,277350,271615,274267,174.54,262,281,0.491,18.78,158.3,0.99,0.0462,41.16,0.62,10.4,45.3,60.2,1445,1496,38.99,-9.999,0.0007,-9.999,-9.999,0.0015,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,48,93.2665,84.48567394
312150,359150,3,66005,Clwyd                 ,GB,312150,359150,309816,351808,96.37,234,46,0.518,12.71,114.8,0.995,0.0371,27.54,0.51,9.3,35,46.3,958,956,34.93,-9.999,0.0032,-9.999,0.53,0.0052,0.152,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,35,14.147,24.66860287
329550,337300,3,67005,Ceiriog               ,GB,329550,337300,317503,336107,111.76,386,99,0.462,17.76,186.4,1,0.0231,30.44,0.51,10.3,41.3,55.4,1198,1250,40.82,-9.999,0.0014,-9.999,-9.999,0.0014,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,52,29.78,49.88024388
333650,354150,3,67008,Alyn                  ,GB,333650,354150,323018,359064,225.76,233,63,0.591,25.34,108.2,0.99,0.048,52.04,0.41,10.1,35,45.5,917,901,29.84,0.681,0.0205,0.574,0.817,0.0292,0.567,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,44,21.8545,35.72686611
320400,366750,3,67009,Alyn                  ,GB,320400,366750,319019,357784,81.6,303,38,0.615,14.08,142.5,0.99,0.0328,27.08,0.41,10,36.3,47.6,968,959,27.71,-9.999,0.0016,-9.999,-9.999,0.0016,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,53,8.625,15.30841251
334850,341450,3,67015,Dee                   ,GB,334850,341450,303096,340023,1008.74,339,85,0.431,56.75,154.8,0.934,0.0457,93.29,0.55,10.2,44.2,59.4,1367,1396,42.69,-9.999,0.0025,-9.999,-9.999,0.0043,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,36,220.97,338.7464596
365300,343150,3,68005,Weaver                ,GB,365300,343150,359817,344402,201.44,89,63,0.502,14.97,27.4,0.95,0.1593,29.48,0.34,9.4,29.6,38.6,719,756,34.29,0.561,0.0052,0.857,0.741,0.0074,0.89,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,40,13.9505,21.62279138
386050,363250,3,68018,Dane,GB,386050,363250,394491,365487,142.65,270,258,0.408,17.99,117.8,0.979,0.044,33.05,0.5,10.4,36.7,46,1030,1064,39.65,0.712,0.0185,0.355,0.839,0.0231,0.369,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,56,41.029,51.0997759
344750,371100,3,68020,Gowy                  ,GB,344750,371100,351374,364258,148.7,52,294,0.538,13.96,33.8,0.994,0.1466,33.49,0.35,9.9,28.8,39.1,729,724,32.27,0.514,0.012,0.928,0.684,0.0166,0.914,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,30,15.156,18.02671931
384150,399200,3,69003,Irk                   ,GB,384150,399200,388173,405053,73.28,115,230,0.508,12.42,45.3,0.925,0.1144,21.53,0.57,11,36.2,49.5,1024,1048,31.83,0.816,0.2878,0.955,0.898,0.3939,0.959,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,47,36.496,17.79205052
368450,393950,3,69005,Glaze Brook           ,GB,368450,393950,366479,401210,160.11,50,178,0.39,12.98,20.4,0.927,0.2609,29.02,0.41,11.5,33.5,46.6,965,953,37.92,0.767,0.1115,1.033,0.863,0.1481,1.05,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,13,35.7,43.19529442
372750,387550,3,69006,Bollin                ,GB,372750,387550,385616,378679,257.54,124,302,0.507,26.74,56.2,0.946,0.1165,50.04,0.43,10.3,31.7,42.4,881,865,32.55,0.653,0.0455,1.069,0.819,0.0788,1.007,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,66,38.162,41.75716544
